x1,x2,x4,x8,x16,x32
617,917,872,1559,2514,4416
385,784,739,1197,2353,4588
529,628,729,1365,2489,5927
513,733,838,1379,2779,4686
574,607,1180,1122,2814,5079
569,626,799,1440,2354,4848
583,701,1015,997,2604,4052
490,764,1092,1107,2564,4422
421,691,682,1888,2343,8046
464,681,739,1434,3285,5548
460,767,1486,1267,2404,5993
378,758,767,1169,3314,4775
449,933,835,1234,2200,4395
549,684,926,1246,3024,4048
516,665,863,1654,2191,6651
409,801,805,1126,2368,5069
425,777,1068,1426,3097,4960
461,860,732,1342,2358,5551
445,777,912,1905,3760,4148
496,654,767,1346,3156,5651
464,654,920,1483,2690,4955
387,808,865,1284,3086,5609
401,551,662,1376,2381,6479
494,675,827,1470,3062,5293
376,637,705,1324,2751,3767
375,514,589,998,2836,4290
663,681,927,1290,2770,5495
388,865,981,1662,2282,4642
433,629,708,912,2141,5272
388,625,764,1133,2438,6541
454,869,852,1556,2163,6917
384,705,933,1193,3034,4710
429,903,1085,1485,3653,5840
602,1193,1212,1734,3352,7524
615,1080,1199,2190,3035,4978
377,568,1189,1714,3496,5503
442,1002,1002,1472,3254,6976
377,716,814,1453,3228,6147
378,443,533,1458,3652,6090
506,861,916,1303,2601,5571
513,535,855,982,2196,5908
463,754,925,1346,2692,6048
379,763,964,1500,2390,7176
452,519,732,968,2881,5523
366,525,608,890,2089,4151
370,793,872,1338,2049,5624
375,519,744,1466,2815,5321
367,610,932,1531,2998,4623
378,509,1103,1550,2854,4788
520,522,679,958,2417,4798
397,618,824,1211,2894,5184
383,519,711,976,1704,4519
405,494,551,855,2621,4314
404,498,704,1277,3093,5683
379,441,552,984,2901,6227
380,791,859,994,2423,5299
415,437,569,978,2921,5916
453,769,825,845,1641,4890
383,579,608,929,2405,4067
376,576,682,871,2642,5723
433,656,770,1461,1753,6363
406,576,1048,1804,3244,4469
374,492,518,901,2315,5257
531,1103,792,1392,2374,4246
468,566,1160,1245,2215,5255
386,482,588,1098,2091,4398
375,577,576,1258,2209,4214
472,589,570,997,1640,5268
377,543,571,1340,2257,5360
363,442,788,967,3283,4410
461,779,986,964,2369,5132
467,887,778,1451,2373,5505
364,582,723,1135,2966,5143
838,508,697,884,2498,4093
381,471,634,985,3245,4513
534,650,599,1638,2283,6535
487,1149,884,1490,2551,8721
519,871,1551,1737,3521,5719
389,657,837,1183,2691,5427
965,536,1082,1189,1900,4960
449,505,762,1348,2367,5645
433,622,781,1380,2422,3588
485,877,663,1199,2331,3425
451,544,689,1262,2152,4254
376,470,584,814,2196,4306
584,711,1078,1184,2041,4529
382,451,599,1021,2789,4564
416,902,1017,1348,2458,5255
377,489,646,1070,3045,4479
401,533,923,1307,3043,5167
639,745,849,1150,1762,4211
601,924,842,1040,2558,5607
492,1029,824,1685,2014,6287
482,1162,705,1001,1742,5013
671,591,567,1009,2418,5725
407,497,545,785,2543,4531
439,658,544,930,1739,4794
509,1045,667,1012,1990,6738
432,555,766,938,1520,4606
411,775,942,1172,1817,6264
