x1,x2,x4,x8,x16,x32
36123,19410,12008,10258,11169,11603
34715,20712,12275,11686,11629,12191
35746,19830,12436,10779,12368,12827
36034,20193,12813,11316,12729,14352
35694,19062,13793,11407,12147,13245
34126,19591,11965,10586,12191,12980
34493,19265,12326,11175,12362,12613
34651,19409,11979,10538,11168,12565
34446,19916,11793,10102,11615,12375
35620,19795,14961,12410,11497,14009
34878,20168,11850,10372,11747,11583
36122,19181,11936,11134,11809,12574
35167,19699,12355,10025,11976,12575
34432,19877,12260,11720,11867,13109
34123,19200,12456,10451,11878,12606
33133,19921,11954,11204,12559,13010
34874,22925,13760,11516,11578,12571
34709,19364,12183,10411,10988,12395
34301,20140,12386,10978,11189,12710
33710,19173,14880,11005,11480,12706
34684,19886,12269,10963,12555,12656
35860,19849,15188,11169,12635,13429
33727,19822,11733,11183,11721,12571
34599,19470,11899,10775,12383,12160
37482,19281,11840,11001,11832,12251
37013,20666,15828,10206,12464,13334
36540,19978,11861,12531,12492,12264
34044,20330,14932,10703,11404,12765
34738,18923,11581,10728,12391,12741
34529,19615,14109,11987,11821,13395
34996,26637,12505,11265,12199,12325
34190,19630,14542,11706,11131,12106
32656,22308,12079,12245,12398,12576
35921,18714,11885,11541,11644,13183
35637,19201,12186,11656,12354,11326
34716,18223,12472,11313,11549,12136
35275,19328,13240,12222,12256,13402
33807,19077,11993,11664,12452,12493
34201,18970,12000,11343,12840,11804
35471,18975,12199,11852,12565,11984
38932,19043,14887,13128,10846,12790
35278,19345,11981,10116,12361,13062
35351,18926,13538,10731,10825,12730
34519,19457,12663,11577,12169,13559
35068,19855,11889,11049,11940,12557
34388,19315,11844,12741,10829,12556
34689,19157,11893,11410,12291,12115
33513,19257,14760,11532,12171,13096
34847,18711,11954,12174,12685,12535
35617,19370,14938,11969,11497,12133
39140,22712,15942,12624,13798,13285
40465,21709,13530,14600,13091,15050
39439,21640,15122,15267,11281,15443
38804,21654,13876,13642,14252,14770
41092,29609,13359,14347,12526,14596
39221,21228,13811,12172,14203,12846
40751,21158,13469,12166,11749,14718
35903,20340,13590,13818,12581,13932
36735,20482,12299,12291,12271,13968
38286,19348,12460,12257,13144,13763
38535,19778,15117,12635,11557,13930
37602,20790,12144,12756,13134,13249
36325,20183,13833,14291,13284,13275
36329,20524,11687,10673,13106,13678
36242,20414,13734,12952,12908,12122
36650,19874,14589,13824,12940,14849
37433,20534,12391,13133,12788,13281
37084,20188,13042,15982,11580,13640
36324,20496,16063,11612,11547,12788
37584,20862,13338,13060,11628,12735
36153,25904,12650,10628,11788,15027
36475,20701,12166,10727,12447,14056
36965,20157,12425,13416,13320,12819
39828,19522,11950,13660,12121,13766
38008,21256,12497,11330,14111,12441
37324,19980,12840,12930,11505,13754
36120,21374,12473,13407,13927,13392
35645,52100,14816,14327,20002,14061
37253,21017,12390,11483,12577,12550
37620,20099,12263,12589,13810,14396
38597,19793,12243,12645,12630,13244
37309,20393,12732,12698,12291,14223
36526,19755,13538,14244,11510,13008
36729,20208,13911,14045,12539,13905
37901,21370,12281,12259,12473,15318
35626,20892,12711,11180,13218,13710
36571,21565,12963,12538,12293,14674
35927,24717,11562,12254,13328,13705
38270,20246,12579,13011,12164,12714
38211,20982,14930,15045,12035,14103
41340,21022,12406,10792,13680,13836
38269,21119,16714,12740,12588,14119
40348,19555,13694,12358,12759,12358
38253,20653,15662,13089,11699,13560
36949,21694,13773,11765,13694,16565
39423,19950,14451,11657,12016,13928
36433,22925,15055,12637,11918,13597
38479,19355,12923,12851,13486,13384
37027,19912,13786,12184,11685,12605
36717,20205,12051,11694,12577,13205
