x1,x2,x4,x8,x16,x32
16474,9239,9010,6639,6908,7967
17120,9924,7625,6512,6539,8765
16705,9778,5943,6779,7785,8912
16582,10413,7873,5236,6855,9161
16067,10004,8590,7358,6897,8921
16471,9404,7779,6340,6469,7502
16656,9608,6285,6811,6937,9093
17001,10733,7373,7400,6897,8074
15974,9750,7662,6740,7222,8612
16646,9693,7187,7099,6499,9247
16897,9808,6551,6300,6097,9133
17706,9952,6192,6809,6161,7858
16376,9775,7228,6668,7313,8126
16045,9904,6432,6494,6871,9041
16315,10039,6194,7124,6354,9888
16412,10327,7752,6973,6903,7986
16104,10325,7896,7184,7145,9919
16686,9592,8321,7368,8783,9008
17987,9907,5573,6326,7980,9526
17702,9758,5798,6152,7027,9237
16400,11328,8544,7918,6545,10317
17251,9981,8281,7803,7078,10175
16943,10349,8194,6703,6779,8597
16299,10762,6967,6653,6959,8208
17510,9636,5947,7176,7012,9391
17885,10212,7829,7461,7910,9901
17005,9760,6085,7157,7034,8373
17775,10301,5369,6973,7406,9366
18864,13549,7932,6091,6664,10712
18195,10344,9022,8428,7779,8486
19253,11254,8510,8465,6697,10568
19078,11807,6514,5942,7566,8884
17033,9488,5438,7157,6867,8453
17962,9713,5638,5696,7124,8205
18131,11900,7851,5639,8682,10277
17847,9938,6425,5890,7608,8182
19929,13102,8892,8107,8032,9694
20491,19455,7708,8883,10163,14197
23668,10542,8001,7787,7731,8603
17891,9543,6833,5476,7830,8727
17320,10247,5684,7584,6866,6684
16982,10000,8175,7775,7437,9789
19433,10075,7985,6735,7492,8821
22398,10856,8327,6580,8359,11271
19126,11106,8130,5778,6852,7391
17218,9605,6116,5963,6791,8278
18406,10076,7660,5598,6142,8094
17490,9608,5447,5749,7874,8837
17796,10107,5601,7957,7140,8432
17064,10047,8325,5390,7833,8232
18896,14594,8038,6070,7580,7282
20599,11817,8549,7743,6507,8471
23376,11859,7063,7813,7303,8952
25588,14714,6017,7485,10397,9983
20565,10498,10537,5563,9610,12439
23173,14892,8273,8369,12894,10359
20200,10899,7302,10556,6340,9124
20600,9280,7963,9380,6593,8499
20221,10658,9871,5699,8193,11504
20351,12434,9979,5001,9042,8752
19281,11548,13100,6418,7255,7798
18968,14577,8096,6658,8424,8963
20904,11841,7853,4904,10902,14543
20963,10029,9003,5689,8741,10005
21301,10536,11434,6143,5756,10272
22557,10910,8601,8715,6409,10750
20040,12305,9090,5465,9582,8897
17973,14351,7459,5096,10608,9579
21118,10006,8590,6852,6192,9460
20219,10515,6985,7908,7533,11381
22722,17994,8065,7170,8446,8375
19371,10537,7847,7666,8269,8722
20534,9777,8201,12731,13447,12406
20900,12743,7368,9085,6521,9348
25827,13837,8092,7586,9577,8362
22076,9394,6408,6661,6974,8936
19931,12776,9623,8344,7883,12346
21955,12044,10248,8563,8382,10319
22248,12317,7421,7526,10157,10272
26371,15013,10779,8985,8580,10607
20386,13661,8377,6914,8024,11344
20067,11889,8511,8982,8170,13559
21381,16375,12466,8340,7857,12126
25096,15806,9137,8869,8953,10615
19509,11291,8745,6398,6832,8422
19416,12093,5449,8491,6408,6879
18498,10337,7763,6357,7528,8179
19521,10966,6879,7533,7122,8043
18707,10568,7426,5886,8509,7309
18165,10154,6596,9128,8124,9848
18313,10888,5477,10437,7373,8024
19046,10562,6438,5373,9429,8669
19371,10720,6256,5595,8266,12244
20479,11517,6425,5397,9743,8275
20989,10502,8962,7102,6670,9966
19766,12939,7543,8121,6969,8223
17289,10725,6661,5283,8834,9854
18178,11126,6084,5819,8274,8789
20144,11146,5360,9056,6301,8150
18522,10819,9200,7905,6844,8014
