x1,x2,x4,x8,x16,x32
3628,3008,2327,2349,3070,5008
3648,3193,2039,2128,4040,5443
4337,2773,2627,1876,3655,7436
4165,2698,2331,2145,3614,5993
4376,2654,2498,2760,3525,6100
4001,2528,2374,2092,3197,6133
3523,2697,2311,2270,3626,5867
3779,3140,3374,2353,3330,6207
4041,2758,2485,2551,3059,5372
3634,2876,2194,2197,3512,5529
6076,2663,2022,2261,2876,5952
3870,2611,2045,2314,3338,5903
3956,2696,2388,2863,3121,4595
6217,2788,2092,2020,3858,6887
3614,2614,2118,2493,3792,5697
3708,2896,2374,2385,4257,7743
3697,3181,2121,2241,3092,6546
4009,2722,2198,2088,3695,6583
3611,3010,2376,3383,3783,5807
3784,2515,2270,2284,3866,5454
3652,2511,2435,2593,3508,6235
4755,2759,2590,2093,3579,5196
4459,2931,2314,3052,3492,6008
3654,2625,2217,2285,3776,6119
5226,3612,1817,2037,3668,6370
3772,2307,2253,2143,3203,6008
3594,2816,2044,2210,3651,5409
3566,2655,1904,2011,3037,6624
3777,3144,2219,3177,4035,7827
4378,2597,2065,2265,3458,7847
4040,3044,1827,1828,4252,6433
3764,2846,1783,1891,3368,5756
3558,2638,1707,2015,3352,5090
3616,2451,2145,2018,3723,5230
3965,2468,1742,2031,3646,5242
3964,2358,1884,2552,3431,5759
3869,2411,2183,2265,3601,6088
4239,2667,2413,3252,3545,7454
4357,2545,2783,3046,4087,6523
4003,3451,2451,2786,4283,5941
3927,2723,2130,2416,3571,7080
3702,2394,1805,2381,3905,6297
3860,2536,1745,2465,3719,5707
3847,2721,2239,1865,3445,6941
3661,2615,2077,1867,3250,5104
3825,2955,2057,2097,4239,5211
4539,2412,1595,1820,3338,5349
3689,2384,2786,3046,2644,6391
4852,2738,2237,2902,3562,6858
4004,2606,1611,2231,3577,6930
4712,2431,2585,2791,2810,5613
4208,2360,2176,2980,2733,8057
4359,2876,2538,2378,4028,5495
4291,2285,2414,2740,3667,5342
5437,5323,1974,3306,3301,7131
5339,3100,1581,1706,4128,7072
4391,3380,1611,1602,2934,5275
4778,3072,1649,1654,3292,6392
4534,3840,1653,1729,3098,7973
4096,3495,2439,3076,2658,7648
7100,2639,2110,1986,3176,4971
3944,3804,2527,1707,3609,5975
5438,2690,1853,2296,3443,3971
4297,2343,1720,2599,2648,8786
3961,3948,1569,1769,2923,5599
5387,2628,2795,2165,2590,4415
4261,2261,2157,2512,2735,5588
4034,2615,5789,2269,2570,5584
4784,3002,1692,1708,3138,5640
4369,3092,1728,1737,2725,4587
4637,2335,2241,2691,2617,4935
3688,2527,2541,2115,2661,5539
5388,2719,1656,1647,3183,4460
3950,2325,2476,2762,2670,5992
3685,3066,2570,2270,3452,5155
3780,2469,3165,1766,2611,5617
4791,3111,1727,1729,3174,4921
3845,3494,2089,2018,5217,3929
4448,2714,2318,2424,3564,7529
7024,3944,3125,2840,2956,4401
4212,3097,2206,2281,3593,5855
4198,2505,2671,2048,2865,8663
4493,2653,2606,2413,2470,8605
5356,2770,1745,1713,3547,9698
6261,2868,2133,1824,3192,5303
5892,2713,1735,2095,3152,4797
3922,7077,2211,1577,3482,4208
4258,2267,6009,1744,2262,6050
4248,2953,2030,1668,2887,4904
3737,3674,1638,1755,2526,5193
5455,3027,1694,1615,7430,5997
4225,3240,1714,1728,7503,5698
3855,2477,2382,2029,2442,8496
7131,2605,1664,1581,3746,4527
4286,2292,4361,1884,2993,6073
4770,4536,2376,1924,3855,5264
4291,3115,1710,1886,2820,4911
3618,2550,3224,2044,2370,5488
4532,4151,2081,3230,3195,6522
4116,2617,5912,1860,2887,6771
