x1,x2,x4,x8,x16,x32
832,1076,1022,1471,3542,5275
999,1146,1283,1627,2963,4277
908,1053,1007,1322,2661,4690
791,906,1208,1600,3481,4492
878,1055,912,1409,2499,4950
1028,972,937,1560,2999,5692
840,898,1130,1494,2893,4975
1077,1076,1062,2095,2611,5755
856,1037,1212,1544,2808,5238
872,1013,1311,1440,2308,5035
903,1069,1065,1349,3330,5281
1076,1101,1103,1526,2967,4365
914,1000,1003,1383,2988,5113
1027,1066,1433,1760,2461,5168
917,969,911,1426,2577,5734
857,1138,1298,1369,2913,4728
889,1269,1249,1704,2747,4693
950,960,1025,1354,2931,5067
864,1004,1093,1419,3453,5847
927,956,1041,1290,3125,7475
923,1141,1111,1104,2879,4666
1100,854,1095,1371,4146,6199
903,876,1069,1385,2488,5097
1107,1115,957,1276,2892,5572
1099,1053,1034,1291,3758,5825
827,972,915,1720,2880,5404
843,741,886,1185,3715,5768
1136,994,1185,1511,3393,5828
1534,949,1034,1891,4220,4952
787,704,701,1287,2727,5054
804,807,975,1082,2626,4879
1250,766,841,1433,2356,6979
793,812,955,1677,2727,4017
791,917,1249,1452,2346,5193
1096,813,1103,1696,3193,5406
1073,1543,951,1158,3686,6385
957,1208,1029,1378,3719,6062
808,973,841,1210,2902,4611
904,906,1010,1592,3678,5682
1044,716,732,1573,2742,5808
841,936,1445,1704,3153,4439
793,770,855,1630,2457,5947
945,1205,1277,1875,3079,4603
956,1097,1009,1517,4059,4290
843,1100,1151,1253,3602,4362
842,669,669,1064,1804,6162
809,656,619,1172,2414,4704
768,816,923,1359,3414,5133
765,812,993,1258,2670,5392
849,722,1252,1320,2454,5560
1104,3104,821,925,1779,4706
1043,1083,953,1294,2601,7600
824,771,795,3802,1992,4717
852,746,729,1089,2788,6299
839,781,857,1296,2478,5484
953,1279,1405,1401,2385,4206
793,857,1035,1659,2945,5731
796,812,728,1027,1918,5637
845,1104,765,1015,2505,3926
766,764,831,1389,2438,4809
872,756,764,1348,2335,4665
832,1028,1006,1202,2319,6259
791,1012,1251,1253,2605,5991
907,1081,993,1531,3088,4024
884,1361,843,2518,2325,4223
1002,1124,1063,1239,3214,4622
764,1130,1281,2143,2836,5575
943,897,814,1335,1760,4129
806,1351,1084,1338,2212,8342
835,1134,1026,1417,2671,6343
763,723,1299,1220,2661,3836
761,785,823,1538,2767,5276
1237,779,997,1359,2546,6127
1382,1186,939,1196,2375,5429
1073,1065,1278,1345,2414,4469
840,964,776,1116,2760,3662
830,1033,991,1488,2521,6147
975,1092,897,882,1809,3570
1077,867,680,1263,3309,3912
1014,809,993,1541,3113,4505
941,1082,956,1090,2467,5214
1147,952,634,1094,2161,4901
828,940,1370,1693,2495,4543
956,1230,1068,1226,2168,5360
937,1241,1009,1448,2387,4265
1121,807,764,1156,2779,4293
1073,1300,783,1078,1936,5964
991,755,763,1066,1899,6405
1242,825,940,1254,2844,5737
1380,1266,1005,1126,2537,5634
1073,1282,1243,1260,1761,3687
994,740,677,868,1841,9657
1114,1492,1078,984,1883,3998
823,739,597,865,5423,4753
1164,1405,1334,1135,2088,3781
850,715,702,3126,2648,4306
1289,967,686,934,2044,3683
1108,1067,1153,1099,1678,3751
1031,765,881,911,1993,6545
1155,823,673,991,1647,7323
