x1,x2,x4,x8,x16,x32
73387,39084,29518,22962,23256,22174
72603,39561,30655,19798,21199,21272
71987,39037,23161,21360,22352,22172
77145,46796,25789,22448,21771,22096
77079,42418,27400,20962,26944,24098
78878,41945,29390,23854,25346,23148
80806,42247,28040,23332,23614,23005
78684,44872,30513,22337,24710,24738
81348,41997,28846,23034,25233,23512
79437,45436,30248,22956,24953,24443
81828,41239,29714,24039,25278,23555
80805,42096,31534,22646,22346,22734
81386,44584,30173,23456,24002,24700
83126,41660,31292,21281,21575,22582
76765,40789,25998,21619,22917,22502
77445,43205,32991,21994,21722,21683
79795,43157,30571,23471,24079,24786
78716,41243,30206,22573,21994,23672
70469,44711,30655,21895,25450,24202
72667,47255,30685,19965,23937,23893
76661,42347,32126,23143,24445,24163
80384,42655,29270,22755,24863,24026
80026,41237,28060,22085,22450,22464
76835,41916,23908,24433,24254,23957
72278,39090,22888,22411,21119,22352
72073,39463,23140,20126,22847,21930
73093,37616,22395,20293,22433,22523
72285,38312,22676,21623,21473,21694
73971,39280,28808,21896,21554,21426
73141,39342,30915,21571,24160,22527
72846,38635,23034,21922,21377,22908
72675,38121,22974,21559,22274,21335
73564,38966,22398,20970,21389,21663
72900,39494,22914,20742,21591,22550
80159,39728,31927,22012,22723,23730
76617,39372,22693,21439,20837,22465
72775,39109,23213,19604,23230,21566
75715,42086,22971,20349,21346,22939
71835,38270,23003,20497,21336,21756
73443,37599,31958,20967,22241,22443
73782,38252,22165,20889,20634,21812
72647,40992,30791,20823,20845,22382
71291,38136,22768,20707,21289,21874
72199,40914,23226,21109,21002,22251
71763,37920,22380,21927,21043,21799
71956,37591,22440,21219,21058,22337
72106,37694,23019,21119,21035,21521
71604,37706,22651,20482,21600,22796
70349,38767,26600,19701,21799,22102
74734,38768,22385,20971,21448,21723
77328,42261,25877,23076,23940,24247
79094,41881,23098,21988,24457,24389
75765,40107,27419,22700,23159,22553
76674,42853,30422,24359,22306,22992
75926,46624,27071,23050,23428,22763
74193,42990,24430,25194,22231,23025
81151,40628,30608,22649,24265,24413
74803,41733,25283,22180,23470,23495
74603,40757,30614,21174,21589,23148
75813,40703,30645,21520,22201,22927
77312,43181,23445,22275,23025,23053
75259,39944,25194,26160,23823,22620
77080,47200,23172,23023,22347,22016
76452,41926,29481,23626,23046,23128
75910,41910,28715,22259,21980,21699
78076,41519,30191,23717,23470,23533
79635,42824,23264,22564,23856,23841
78019,42255,23412,22171,24330,22917
76331,41188,25123,24110,25298,22960
78602,41086,27864,21725,23366,22764
74523,40635,30305,21728,21991,24459
75974,42627,23901,21692,24416,23022
80288,40552,23972,23226,22517,22279
77061,41642,30299,24518,24479,22886
77657,40557,31346,22828,21922,22780
76951,41232,23521,21830,21371,23035
77478,42175,27870,20969,23966,23364
75850,42151,23484,23462,21624,22379
78220,41497,28817,22128,22973,23406
76611,41287,23927,22112,23417,23084
76931,40157,30910,21300,22576,22329
81214,42122,28906,21194,22706,21788
76513,40676,29499,21700,23190,22916
76123,41769,29347,22314,23832,22243
76697,44910,23307,21939,22781,22685
74356,39331,32268,22534,24290,22769
75825,39493,23825,23902,22986,21894
76427,40360,23496,21487,22562,22380
74932,41355,30535,27255,27673,23247
74797,40755,23536,21897,22428,23207
76787,40452,33706,24305,24064,24299
79002,43994,27117,24598,22371,23296
77464,40598,29193,23684,22367,24390
77896,41227,22710,21002,23792,23182
75858,41157,28759,22685,21421,22734
76507,41660,23523,21556,22443,24080
75873,40748,23168,23600,23556,22926
76708,40378,28565,22759,22244,22873
76283,47382,28610,23599,21376,23640
76315,41185,25984,22757,21560,22744
